mois_traitement,code_prestation,remboursement_part_legale_eur,quantite_prefiltree
202501,1821,42209.680000,11115.000000
202501,6241,42179.690000,665.000000
202501,2100,41844.720000,415.000000
202501,1174,41546.000000,634.000000
202501,4218,41422.950000,586.000000
202501,1055,41360.000000,376.000000
202501,6014,41094.040000,2200.000000
202501,6110,40729.260000,3130.000000
202501,3305,39523.630000,32.000000
202501,3216,39398.400000,2284.000000
202501,9134,39260.130000,23.000000
202501,3403,38421.050000,5221.000000
202501,3137,36570.000000,395.000000
202501,3369,34593.980000,346134.000000
202501,3598,33954.270000,1486.000000
202501,3591,33835.950000,25.000000
202501,1183,33664.990000,4.000000
202501,3411,33525.230000,226.000000
202501,3129,33479.000000,9103.000000
202501,3325,33044.690000,11005.000000
202501,1945,32673.150000,2735.000000
202501,2304,32476.350000,158.000000
202501,4145,32271.220000,80.000000
202501,1983,31108.540000,302.000000
202501,1929,30838.320000,1231.000000
202501,9771,30574.410000,34.000000
202501,4317,30371.040000,119.000000
202501,1462,30063.290000,924.000000
202501,1641,30000.000000,6.000000
202501,1947,29920.000000,374.000000
202501,3584,29455.060000,27447.000000
202501,6125,29278.400000,464.000000
202501,2184,28438.000000,3.000000
202501,3404,28314.570000,6569.000000
202501,1216,28298.700000,483.000000
202501,9999,27982.770000,59.000000
202501,2146,27967.630000,120.000000
202501,3574,27792.300000,36.000000
202501,3104,27680.390000,3260.000000
202501,3563,27603.270000,854938.000000
202501,1185,27500.000000,4.000000
202501,2265,27254.000000,1.000000
202501,1213,27115.500000,582.000000
202501,2415,26974.790000,426.000000
202501,1990,26710.000000,95.000000
202501,3128,26370.000000,1948.000000
202501,1617,26355.240000,19.000000
202501,2420,25609.720000,252.000000
202501,3127,25340.000000,262.000000
202501,3124,24910.000000,795.000000
202501,3166,24787.500000,826.000000
202501,4241,24248.550000,188.000000
202501,1054,23840.000000,298.000000
202501,9521,23160.910000,277.000000
202501,2215,23137.700000,3.000000
202501,2287,23089.460000,30847.000000
202501,1435,22884.000000,545.000000
202501,4112,22200.010000,678.000000
202501,1964,22172.250000,5996.000000
202501,2145,21694.140000,73.000000
202501,2158,21206.190000,1140.000000
202501,6239,20798.940000,4.000000
202501,3358,20431.020000,482.000000
202501,4152,20151.640000,108.000000
202501,2238,20065.910000,16471.000000
202501,1064,19612.330000,7.000000
202501,4372,18859.400000,532.000000
202501,6214,18738.400000,295.000000
202501,1086,18517.920000,617.000000
202501,3426,18177.960000,4610.000000
202501,8222,17632.140000,0.000000
202501,1813,17456.140000,4955.000000
202501,1646,17016.400000,5.000000
202501,3368,16808.790000,309.000000
202501,1436,16679.000000,309.000000
202501,2411,16618.980000,180.000000
202501,3349,15753.930000,721.000000
202501,3503,15542.340000,506101.000000
202501,1962,15144.280000,31.000000
202501,1131,15038.200000,787.000000
202501,9112,15029.430000,130.000000
202501,3367,14996.000000,912.000000
202501,3105,14721.630000,1259.000000
202501,3519,14481.850000,441782.000000
202501,4151,13520.000000,194.000000
202501,2412,13197.780000,171.000000
202501,4210,13104.830000,120.000000
202501,3520,13056.010000,393805.000000
202501,2119,13010.290000,1.000000
202501,1050,12934.900000,256.000000
202501,8227,12828.650000,0.000000
202501,2237,12634.250000,250497.000000
202501,4221,12487.520000,84.000000
202501,1146,12236.290000,9.000000
202501,2250,12021.170000,1281816.000000
202501,1949,11760.000000,392.000000
202501,3337,11704.900000,179.000000
202501,9742,11639.290000,24.000000
202501,4416,11048.160000,0.000000
202501,6251,11032.610000,265.000000
202501,9766,10818.490000,72.000000
202501,1996,10790.000000,111.000000
202501,1961,10277.510000,162.000000
202501,1060,10184.140000,2568.000000
202501,4153,9990.350000,287.000000
202501,3610,9956.270000,161.000000
202501,9765,9951.360000,82.000000
202501,1227,9881.620000,288.000000
202501,9774,9847.010000,61.000000
202501,9751,9738.070000,78.000000
202501,3502,9533.110000,309862.000000
202501,1425,9207.780000,84.000000
202501,3103,8768.500000,852.000000
202501,3417,8365.500000,21.000000
202501,2288,8296.340000,236.000000
202501,9777,8137.840000,59.000000
202501,2321,7642.740000,93.000000
202501,2106,7250.580000,69.000000
202501,2289,7187.210000,175.000000
202501,9902,6875.320000,10.000000
202501,3504,6474.460000,207619.000000
202501,1085,6448.000000,254.000000
202501,3342,6122.950000,334.000000
202501,1963,6036.000000,628.000000
202501,1062,5986.400000,38.000000
202501,3143,5957.840000,342.000000
202501,1196,5899.000000,187.000000
202501,9211,5669.050000,92.000000
202501,4220,5635.620000,58.000000
202501,3350,5617.000000,209.000000
202501,1187,5600.000000,1.000000
202501,1406,5391.370000,161.000000
202501,1456,5337.050000,319.000000
202501,1135,5091.300000,273.000000
202501,4211,5012.500000,12.000000
202501,2416,5003.490000,412.000000
202501,1056,4871.320000,195.000000
202501,4325,4864.660000,9.000000
202501,1474,4813.850000,29.000000
202501,6232,4580.440000,72.000000
202501,1145,4515.000000,1.000000
202501,3564,4499.250000,148629.000000
202501,3123,4489.500000,400.000000
202501,9720,4486.830000,2.000000
202501,3559,4432.060000,137281.000000
202501,3611,4427.550000,25.000000
202501,4417,4342.740000,5.000000
202501,2293,4166.670000,1.000000
202501,9511,4158.000000,14.000000
202501,9129,4126.760000,12.000000
202501,1403,3967.290000,224.000000
202501,6242,3927.080000,123.000000
202501,6222,3864.000000,2.000000
202501,9776,3822.930000,19.000000
202501,3339,3500.240000,57.000000
202501,2423,2956.960000,8.000000
202501,8224,2872.110000,0.000000
202501,2290,2860.210000,2400.000000
202501,2163,2853.210000,58.000000
202501,1452,2788.560000,26.000000
202501,9737,2740.000000,13.000000
202501,9204,2663.040000,83.000000
